,id,has_online_delivery,has_table_booking,is_delivering_now,switch_to_order_menu,cuisines,average_cost_for_two,price_range,votes,aggregate_rating,currency
52,18447068,0,0,0,0,1,1000,3,156,4.0,Rs.
53,18441580,0,1,0,0,6,1000,3,317,3.9,Rs.
54,34757,1,0,0,0,1,800,2,2662,4.5,Rs.
55,35217,0,0,0,0,1,800,2,5145,4.0,Rs.
56,16527711,1,0,0,0,3,700,2,2076,3.9,Rs.
57,49486,1,1,0,0,6,1000,3,1515,3.6,Rs.
58,18233317,0,0,0,0,3,1500,3,1606,4.2,Rs.
59,18216876,0,1,0,0,6,1500,3,885,3.9,Rs.
60,18353121,0,1,0,0,3,1200,3,983,4.4,Rs.
61,51705,0,0,0,0,3,2000,4,10934,4.8,Rs.
62,51040,1,0,0,0,3,800,2,9667,4.7,Rs.
63,18439634,0,0,0,0,6,950,2,276,4.7,Rs.
64,58882,1,1,0,0,6,1800,3,5705,4.5,Rs.
65,18339874,0,0,0,0,1,1500,3,754,4.4,Rs.
66,18385443,0,0,0,0,2,1500,3,1288,4.5,Rs.
67,18366652,0,0,0,0,3,600,2,627,4.6,Rs.
68,18162866,0,1,0,0,2,1300,3,1354,3.9,Rs.
69,56464,0,0,0,0,3,800,2,3533,4.0,Rs.
70,18221572,1,0,0,0,3,600,2,1413,4.3,Rs.
71,56618,0,0,0,0,3,1400,3,6907,4.6,Rs.
72,18305628,1,0,0,0,5,400,1,753,4.3,Rs.
73,18422898,0,0,0,0,3,1400,3,405,3.9,Rs.
74,18430785,0,0,0,0,1,1200,3,334,4.2,Rs.
75,18359919,0,0,0,0,3,600,2,781,4.6,Rs.
76,58268,1,1,0,0,1,2400,4,2369,4.7,Rs.
77,50943,1,1,0,0,2,1300,3,2416,4.1,Rs.
78,18407918,1,0,0,0,1,1500,3,231,4.2,Rs.
79,54162,0,1,0,0,3,1400,3,5385,4.1,Rs.
80,18354483,0,0,0,0,1,1500,3,868,4.3,Rs.
81,13231,0,0,0,0,2,1000,3,2510,4.8,Rs.
82,6507967,1,1,0,0,3,800,2,997,4.1,Rs.
83,6508323,0,1,0,0,2,1500,3,1099,4.5,Rs.
84,18441490,0,1,0,0,1,1000,3,208,4.4,Rs.
85,6505309,0,1,0,0,4,1000,3,1143,4.1,Rs.
86,6507495,0,1,0,0,1,1000,3,377,4.1,Rs.
87,18350020,0,1,0,0,6,900,2,635,4.4,Rs.
88,18383076,0,1,0,0,3,1400,3,306,4.2,Rs.
89,6507461,0,1,0,0,3,1200,3,1531,4.2,Rs.
90,18383095,0,1,0,0,3,1200,3,507,3.6,Rs.
91,6508117,1,0,0,0,3,850,2,583,4.2,Rs.
92,11807,0,0,0,0,2,1700,3,2847,4.5,Rs.
93,6504409,1,0,0,0,4,1800,3,1531,4.3,Rs.
94,18417624,0,1,0,0,6,1500,3,140,4.1,Rs.
95,6506206,1,1,0,0,3,2100,4,1566,3.6,Rs.
96,11371,1,1,0,0,3,1800,3,1439,4.5,Rs.
97,18378852,1,0,0,0,4,2000,4,375,4.3,Rs.
98,6505564,0,0,0,0,3,1000,3,1583,4.0,Rs.
99,18292672,1,1,0,0,3,1500,3,487,4.2,Rs.
100,18452864,0,0,0,0,3,1500,3,200,4.9,Rs.
101,97824,1,1,0,0,4,1800,3,1932,4.7,Rs.
102,18356469,0,1,0,0,3,1200,3,594,4.1,Rs.
103,90847,1,0,0,0,4,1800,3,2553,4.6,Rs.
104,97503,0,1,0,0,6,1100,3,1431,4.1,Rs.
105,18418730,0,1,0,0,3,1200,3,221,4.2,Rs.
106,18418733,0,0,0,0,2,1400,3,79,4.2,Rs.
107,94286,0,0,0,0,3,1500,3,5434,4.9,Rs.
108,18443506,0,1,0,0,5,1500,3,144,3.8,Rs.
109,18313013,1,0,0,0,2,1100,3,616,3.9,Rs.
110,18312984,0,1,0,0,2,1400,3,571,4.1,Rs.
111,90744,1,1,0,0,3,1500,3,3374,4.3,Rs.
112,96814,1,1,0,0,2,850,2,494,4.4,Rs.
113,96776,0,0,0,0,2,600,2,1023,4.8,Rs.
114,96626,0,1,0,0,3,1900,3,860,4.3,Rs.
115,93766,1,1,0,0,3,2000,4,2218,4.4,Rs.
116,18280329,1,1,0,0,3,700,2,682,4.0,Rs.
117,92577,1,0,0,0,4,1800,3,1859,4.2,Rs.
118,90499,0,1,0,0,2,800,2,1408,4.6,Rs.
119,18307251,0,0,0,0,3,500,2,344,4.7,Rs.
120,72604,0,0,0,0,4,1400,3,1267,4.6,Rs.
121,70894,0,1,0,0,2,1000,3,1714,4.2,Rs.
122,72475,1,1,0,0,3,800,2,519,3.8,Rs.
123,73088,1,1,0,0,4,1700,3,1262,4.8,Rs.
124,70497,1,1,0,0,7,1500,3,1210,4.5,Rs.
125,66457,0,1,0,0,2,900,2,2272,4.0,Rs.
126,69024,1,1,0,0,3,800,2,1810,4.2,Rs.
127,71443,1,1,0,0,4,850,2,841,4.2,Rs.
128,18384227,0,0,0,0,3,1600,3,859,4.9,Rs.
129,70393,1,1,0,0,1,1200,3,1753,4.6,Rs.
130,70890,0,0,0,0,1,350,1,1510,4.6,Rs.
131,65055,0,0,0,0,2,2000,4,3848,4.4,Rs.
132,65413,1,1,0,0,4,850,2,742,4.3,Rs.
133,73279,1,0,0,0,2,900,2,1317,3.8,Rs.
134,72497,1,1,0,0,4,850,2,645,4.4,Rs.
135,18423075,1,0,0,0,2,450,1,191,4.2,Rs.
136,70092,1,1,0,0,5,1500,3,1820,4.0,Rs.
137,71492,0,0,0,0,2,1100,3,1004,4.1,Rs.
138,70431,1,1,0,0,4,750,2,1504,4.4,Rs.
139,69951,1,1,0,0,3,1200,3,1607,4.3,Rs.
140,801269,0,0,0,0,3,1000,3,887,4.3,Rs.
141,800089,0,0,0,0,1,1600,4,1069,4.7,Rs.
142,801170,0,0,0,0,3,1200,3,691,4.2,Rs.
143,800326,0,0,0,0,4,1100,3,762,4.2,Rs.
144,800891,0,0,0,0,2,400,2,288,4.1,Rs.
145,800468,0,0,0,0,2,300,1,1057,4.9,Rs.
146,801693,0,0,0,0,5,1000,3,79,4.0,Rs.
147,801640,0,0,0,0,3,1300,3,124,4.3,Rs.
148,800483,0,0,0,0,1,400,2,818,4.4,Rs.
149,801384,0,0,0,0,6,2000,4,149,4.2,Rs.
150,801636,0,0,0,0,3,400,2,165,4.1,Rs.
151,801247,0,0,0,0,3,1000,3,411,4.2,Rs.
152,800576,0,0,0,0,2,700,2,587,4.0,Rs.
153,800237,0,0,0,0,3,1000,3,514,3.7,Rs.
154,18375866,0,0,0,0,2,450,2,106,4.3,Rs.
155,801675,0,0,0,0,2,200,1,144,4.5,Rs.
156,18296995,0,0,0,0,2,450,2,217,3.9,Rs.
157,18385021,0,0,0,0,1,1000,3,80,4.1,Rs.
158,800273,0,0,0,0,2,1100,3,268,3.9,Rs.
159,801684,0,0,0,0,3,650,2,147,3.5,Rs.
160,900524,1,0,0,0,3,700,2,333,4.4,Rs.
161,900533,0,0,0,0,6,900,2,722,4.3,Rs.
162,900561,0,0,0,0,1,400,1,406,4.0,Rs.
163,95256,0,0,0,0,2,600,2,659,4.2,Rs.
164,95331,0,0,0,0,5,1000,3,658,4.3,Rs.
165,900547,1,0,0,0,2,400,1,246,4.0,Rs.
166,95286,0,0,0,0,4,1000,3,394,4.2,Rs.
167,95304,1,0,0,0,3,650,2,482,4.2,Rs.
168,901089,1,0,0,0,4,1000,3,145,3.7,Rs.
169,900032,0,0,0,0,4,700,2,312,4.3,Rs.
170,900800,0,0,0,0,3,800,2,160,4.0,Rs.
171,900682,0,0,0,0,1,1000,3,289,4.6,Rs.
172,901004,0,0,0,0,4,650,2,146,4.2,Rs.
173,901035,0,0,0,0,2,550,2,105,3.7,Rs.
174,95333,0,0,0,0,2,800,2,277,3.7,Rs.
175,900111,0,0,0,0,4,400,1,348,3.5,Rs.
176,95361,0,0,0,0,1,350,1,281,3.8,Rs.
177,900969,0,0,0,0,4,1500,3,213,4.5,Rs.
178,95421,1,0,0,0,1,600,2,662,4.4,Rs.
179,900282,0,0,0,0,2,600,2,361,3.6,Rs.
180,101834,0,0,0,0,4,1650,3,676,3.9,Rs.
181,100305,0,0,0,0,7,1800,3,916,4.0,Rs.
182,103065,0,0,0,0,5,1000,3,212,4.0,Rs.
183,101212,1,0,0,0,3,750,2,1469,4.7,Rs.
184,103147,0,0,0,0,2,1500,3,67,3.9,Rs.
185,100306,0,0,0,0,5,1500,3,1121,4.3,Rs.
186,103019,1,0,0,0,5,650,2,198,4.2,Rs.
187,101259,1,0,0,0,5,1300,3,843,4.4,Rs.
188,102531,1,0,0,0,4,800,2,798,4.3,Rs.
189,101884,1,0,0,0,5,1400,3,582,4.0,Rs.
190,103090,0,0,0,0,1,700,2,148,4.1,Rs.
191,18209498,1,0,0,0,3,2000,4,322,4.9,Rs.
192,102504,1,0,0,0,3,1200,3,310,3.9,Rs.
193,102867,1,0,0,0,4,800,2,112,3.7,Rs.
194,18454586,0,0,0,0,6,1000,3,46,2.6,Rs.
195,102215,0,0,0,0,4,2300,4,420,4.5,Rs.
196,101311,1,0,0,0,4,1000,3,633,4.2,Rs.
197,102216,0,0,0,0,2,2500,4,308,4.3,Rs.
198,100080,0,0,0,0,1,1600,3,1478,4.3,Rs.
199,102813,1,0,0,0,3,750,2,389,4.4,Rs.
200,18143128,1,0,0,0,3,1000,3,944,4.4,Rs.
201,18438944,1,0,0,0,5,1000,3,63,3.8,Rs.
202,18438909,1,0,0,0,2,500,2,113,4.4,Rs.
203,18396250,1,0,0,0,3,300,1,217,4.5,Rs.
204,111826,0,0,0,0,3,1200,3,1041,4.1,Rs.
205,18335583,0,0,0,0,3,900,3,325,4.3,Rs.
206,113537,1,0,0,0,2,700,2,744,4.3,Rs.
207,113325,1,0,0,0,7,950,3,1138,4.5,Rs.
208,113702,0,0,0,0,4,800,3,769,4.1,Rs.
209,113433,1,0,0,0,4,900,3,731,4.3,Rs.
210,18371341,1,0,0,0,5,550,2,166,3.9,Rs.
211,111895,0,0,0,0,6,900,3,1582,4.2,Rs.
212,110395,0,0,0,0,3,450,2,697,4.4,Rs.
213,110436,0,0,0,0,4,1400,3,375,3.6,Rs.
214,110516,0,0,0,0,4,1200,3,192,4.1,Rs.
215,110237,1,0,0,0,6,600,2,432,3.8,Rs.
216,113703,1,0,0,0,4,700,2,404,4.0,Rs.
217,18385201,0,0,0,0,2,350,2,166,4.6,Rs.
218,110502,0,0,0,0,3,1800,4,1315,3.7,Rs.
219,113570,0,0,0,0,1,1200,3,535,4.0,Rs.
220,120219,0,0,0,0,2,650,2,397,4.1,Rs.
221,123125,0,0,0,0,2,1800,3,228,4.3,Rs.
222,121214,1,0,0,0,3,1400,3,970,4.3,Rs.
223,122003,1,0,1,0,4,850,2,665,3.7,Rs.
224,122830,0,0,0,0,2,600,2,356,4.0,Rs.
225,123294,0,0,0,0,2,800,2,86,3.3,Rs.
226,120014,0,0,0,0,2,1300,3,1450,4.5,Rs.
227,123010,1,0,0,0,2,600,2,252,4.2,Rs.
228,120221,0,0,0,0,1,700,2,982,3.8,Rs.
229,121552,0,0,0,0,2,1600,3,676,4.2,Rs.
230,121120,0,0,0,0,1,2200,4,817,4.4,Rs.
231,121425,1,0,0,0,4,450,1,265,4.0,Rs.
232,18424018,1,0,0,0,2,550,2,99,4.3,Rs.
233,120519,0,0,0,0,3,2000,4,843,4.2,Rs.
234,120203,0,0,0,0,3,650,2,698,4.1,Rs.
235,122940,1,0,0,0,2,500,2,249,4.5,Rs.
236,121335,0,0,0,0,3,1200,3,1022,4.0,Rs.
237,121553,0,0,0,0,6,1600,3,300,4.1,Rs.
238,122064,1,0,0,0,5,1000,3,502,3.4,Rs.
239,121312,0,0,0,0,4,1400,3,428,4.0,Rs.
240,16512333,0,0,0,0,4,1400,4,2191,4.3,Rs.
241,18022206,0,0,0,0,1,2000,4,367,4.2,Rs.
242,130230,0,0,0,0,5,1500,4,1681,3.5,Rs.
243,16512336,0,0,0,0,3,1000,4,856,4.2,Rs.
244,16519168,0,0,0,0,4,1600,4,1115,4.4,Rs.
245,130567,0,0,0,0,3,1300,4,918,4.3,Rs.
246,16512168,0,0,0,0,3,600,3,840,4.5,Rs.
247,130021,0,0,0,0,3,800,3,1221,3.7,Rs.
248,130275,0,0,0,0,1,1100,4,415,4.8,Rs.
249,130888,0,0,0,0,4,1500,4,681,4.7,Rs.
250,130409,0,0,0,0,3,800,3,280,4.5,Rs.
251,130332,0,0,0,0,1,2000,4,646,4.4,Rs.
252,16519268,0,0,0,0,2,800,3,302,4.6,Rs.
253,16512186,0,0,0,0,5,1100,4,911,3.8,Rs.
254,130535,0,0,0,0,4,1100,4,555,4.6,Rs.
255,130008,0,0,0,0,3,700,3,601,3.8,Rs.
256,16519267,0,0,0,0,3,800,3,414,4.2,Rs.
257,16541849,0,0,0,0,4,1100,4,323,4.4,Rs.
258,16519231,0,0,0,0,1,800,3,265,4.3,Rs.
259,130699,0,0,0,0,1,1500,4,516,3.7,Rs.
260,1402050,0,0,0,0,4,800,3,341,4.0,Rs.
261,18395137,0,0,0,0,2,500,2,69,3.9,Rs.
262,1401756,0,0,0,0,5,1300,3,238,3.7,Rs.
263,1400186,0,0,0,0,3,1500,4,334,4.3,Rs.
264,18254231,0,0,0,0,3,250,1,152,4.1,Rs.
265,1400555,0,0,0,0,4,700,2,502,3.9,Rs.
266,1400460,0,0,0,0,3,800,3,214,3.8,Rs.
267,1400169,0,0,0,0,4,2000,4,209,3.8,Rs.
268,1402089,0,0,0,0,2,500,2,171,4.3,Rs.
269,1400544,0,0,0,0,2,850,3,100,4.1,Rs.
270,1400121,0,0,0,0,2,1500,4,413,4.0,Rs.
271,1400466,0,0,0,0,4,700,2,430,3.9,Rs.
272,1401857,0,0,0,0,3,1100,3,181,4.1,Rs.
273,1401548,0,0,0,0,2,1200,3,404,4.0,Rs.
274,1401934,0,0,0,0,2,1000,3,304,4.2,Rs.
275,1400056,0,0,0,0,2,850,3,496,4.0,Rs.
276,1402028,0,0,0,0,3,400,2,87,4.3,Rs.
277,1402335,0,0,0,0,2,650,2,26,3.1,Rs.
278,1401948,0,0,0,0,2,650,2,69,3.8,Rs.
279,1402314,0,0,0,0,2,1950,4,37,4.1,Rs.
280,1600067,0,0,0,0,1,500,3,162,3.7,Rs.
281,1600205,0,0,0,0,1,100,1,218,3.9,Rs.
282,1600029,0,0,0,0,1,1100,4,164,3.8,Rs.
283,1600280,0,0,0,0,2,1000,4,91,3.6,Rs.
284,1600326,0,0,0,0,1,600,3,15,3.3,Rs.
285,1600258,0,0,0,0,4,1500,4,117,3.8,Rs.
286,1600298,0,0,0,0,1,1000,4,33,3.3,Rs.
287,1600292,0,0,0,0,1,800,3,25,3.0,Rs.
288,1600007,0,0,0,0,3,600,3,162,3.4,Rs.
289,1600219,0,0,0,0,1,400,2,80,3.5,Rs.
290,1600039,0,0,0,0,2,500,3,166,3.5,Rs.
291,1600169,0,0,0,0,1,600,3,125,3.6,Rs.
292,1600252,0,0,0,0,1,150,1,86,3.4,Rs.
293,1600227,0,0,0,0,1,400,2,76,3.8,Rs.
294,1600053,0,0,0,0,1,700,3,177,3.4,Rs.
295,1600307,0,0,0,0,1,800,3,24,3.4,Rs.
296,1600109,0,0,0,0,1,800,3,140,3.5,Rs.
297,1600212,0,0,0,0,3,900,3,71,3.4,Rs.
298,1600108,0,0,0,0,2,400,2,86,3.6,Rs.
299,1600095,0,0,0,0,4,400,2,77,3.5,Rs.
300,15853,0,0,0,0,3,1400,3,80,3.9,Rs.
301,15292,0,0,0,0,4,1400,3,217,4.2,Rs.
302,15091,0,0,0,0,2,800,2,196,4.6,Rs.
303,15497,0,0,0,0,3,800,2,210,4.2,Rs.
304,15321,0,0,0,0,3,1200,3,325,4.4,Rs.
305,15132,0,0,0,0,4,1500,3,178,4.1,Rs.
306,15008,0,0,0,0,4,800,2,261,4.2,Rs.
307,18400368,0,0,0,0,2,1300,3,41,3.9,Rs.
308,15309,0,0,0,0,1,800,2,153,3.7,Rs.
309,18444271,0,0,0,0,3,1500,3,17,3.5,Rs.
310,15705,0,0,0,0,3,2000,4,87,4.3,Rs.
311,15717,0,0,0,0,2,1500,3,154,3.9,Rs.
312,15005,0,0,0,0,2,1400,3,191,4.1,Rs.
313,15774,0,0,0,0,4,1100,3,138,4.4,Rs.
314,15221,0,0,0,0,4,400,1,109,3.9,Rs.
315,15239,0,0,0,0,3,800,2,93,3.6,Rs.
316,15104,0,0,0,0,2,1200,3,156,3.8,Rs.
317,15368,0,0,0,0,3,1000,3,116,3.5,Rs.
318,15777,0,0,0,0,2,1600,3,53,3.8,Rs.
319,15078,0,0,0,0,2,700,2,86,3.6,Rs.
320,2100702,0,0,0,0,1,1500,4,774,4.9,Rs.
321,18224282,0,0,0,0,5,700,2,233,4.3,Rs.
322,18381932,0,0,0,0,3,500,2,124,4.1,Rs.
323,2100921,0,0,0,0,2,1400,3,110,4.2,Rs.
324,18384506,0,0,0,0,1,600,2,126,4.7,Rs.
325,2100870,0,0,0,0,4,1300,3,129,4.4,Rs.
326,2100101,0,0,0,0,1,800,3,327,3.6,Rs.
327,2100719,0,0,0,0,2,850,3,179,4.1,Rs.
328,18397909,0,0,0,0,3,500,2,28,4.0,Rs.
329,2100478,0,0,0,0,4,1400,3,360,3.9,Rs.
330,2100712,0,0,0,0,2,800,3,394,4.6,Rs.
331,2100565,0,0,0,0,2,750,3,304,4.1,Rs.
332,2100322,0,0,0,0,2,300,1,142,3.6,Rs.
333,2100849,0,0,0,0,6,500,2,99,4.2,Rs.
334,2100074,0,0,0,0,5,1000,3,256,4.0,Rs.
335,2100861,0,0,0,0,2,1650,4,222,4.4,Rs.
336,2100676,0,0,0,0,1,600,2,369,4.3,Rs.
337,18480196,0,0,0,0,3,500,2,25,4.1,Rs.
338,2100108,0,0,0,0,1,500,2,290,4.1,Rs.
339,2100776,0,0,0,0,2,700,2,96,4.3,Rs.
340,2200011,0,0,0,0,2,700,2,345,3.4,Rs.
341,2200044,0,0,0,0,2,500,2,461,3.5,Rs.
342,2200045,0,0,0,0,2,200,1,206,3.9,Rs.
343,2200132,0,0,0,0,1,500,2,276,3.8,Rs.
344,2200078,0,0,0,0,1,300,1,151,3.9,Rs.
345,2200153,0,0,0,0,1,150,1,140,4.1,Rs.
346,2200055,0,0,0,0,1,500,2,192,3.8,Rs.
347,2200236,0,0,0,0,1,400,2,71,3.8,Rs.
348,2200033,0,0,0,0,2,400,2,111,3.5,Rs.
349,2200175,0,0,0,0,1,100,1,104,4.1,Rs.
350,2200043,0,0,0,0,2,500,2,94,3.7,Rs.
351,2200030,0,0,0,0,2,800,3,122,3.4,Rs.
352,2200034,0,0,0,0,1,1000,3,96,3.5,Rs.
353,2200201,0,0,0,0,1,150,1,56,3.6,Rs.
354,2200149,0,0,0,0,4,600,2,44,3.4,Rs.
355,2200001,0,0,0,0,3,1200,3,98,3.4,Rs.
356,2200067,0,0,0,0,1,300,1,91,3.5,Rs.
357,2200358,0,0,0,0,3,500,2,26,3.4,Rs.
358,2200283,0,0,0,0,2,700,2,51,3.6,Rs.
359,18204507,0,0,0,0,1,100,1,52,4.0,Rs.
360,2300162,0,0,0,0,2,350,2,49,3.4,Rs.
361,2300183,0,0,0,0,3,500,2,97,3.9,Rs.
362,18377936,0,0,0,0,5,1000,3,24,4.0,Rs.
363,2300003,0,0,0,0,3,850,3,106,3.6,Rs.
364,2300061,0,0,0,0,2,550,2,148,3.3,Rs.
365,2300009,0,0,0,0,3,1500,4,160,3.7,Rs.
366,18312106,0,0,0,0,6,0,1,127,3.9,Rs.
367,2300187,0,0,0,0,2,3000,4,113,3.9,Rs.
368,2300065,0,0,0,0,1,400,2,97,3.9,Rs.
369,2300476,0,0,0,0,2,500,2,87,4.1,Rs.
370,18391601,0,0,0,0,5,1400,3,41,4.0,Rs.
371,2300497,0,0,0,0,3,0,1,34,3.6,Rs.
372,2300188,0,0,0,0,2,1500,4,54,4.0,Rs.
373,2300018,0,0,0,0,2,1000,3,158,4.1,Rs.
374,2300058,0,0,0,0,3,1500,4,155,4.3,Rs.
375,2300042,0,0,0,0,1,1500,4,86,3.9,Rs.
376,18407105,0,0,0,0,2,600,2,43,3.5,Rs.
377,2300176,0,0,0,0,1,350,2,171,4.1,Rs.
378,2300483,0,0,0,0,3,800,3,51,3.3,Rs.
379,2300048,0,0,0,0,1,1000,3,97,3.8,Rs.
380,2400144,0,0,0,0,2,500,3,106,3.4,Rs.
381,2400195,0,0,0,0,2,1000,4,59,3.6,Rs.
382,2400119,0,0,0,0,2,500,3,58,3.4,Rs.
383,2400016,0,0,0,0,2,500,3,105,3.5,Rs.
384,2400009,0,0,0,0,4,400,2,134,3.5,Rs.
385,2400148,0,0,0,0,2,350,2,76,3.3,Rs.
386,2400017,0,0,0,0,2,500,3,151,3.2,Rs.
387,2400052,0,0,0,0,1,200,1,105,3.7,Rs.
388,2400193,0,0,0,0,2,600,3,99,3.4,Rs.
389,2400027,0,0,0,0,2,600,3,83,3.4,Rs.
390,18317988,0,0,0,0,3,0,1,49,3.3,Rs.
391,2400293,0,0,0,0,2,500,3,57,3.6,Rs.
392,2400279,0,0,0,0,4,400,2,32,3.4,Rs.
393,2400019,0,0,0,0,3,500,3,51,3.2,Rs.
394,2400349,0,0,0,0,2,700,3,35,3.4,Rs.
395,2400020,0,0,0,0,3,500,3,57,3.4,Rs.
396,17960073,0,0,0,0,3,600,3,18,3.4,Rs.
397,2400403,0,0,0,0,2,800,3,6,3.2,Rs.
398,2400010,0,0,0,0,3,800,3,58,3.3,Rs.
399,2400014,0,0,0,0,1,400,2,53,3.3,Rs.
400,2500023,0,0,0,0,4,800,3,240,3.6,Rs.
401,2500030,0,0,0,0,1,450,2,89,3.7,Rs.
402,2500346,0,0,0,0,2,500,2,71,3.3,Rs.
403,2500343,0,0,0,0,2,300,1,21,3.5,Rs.
404,2500079,0,0,0,0,4,1000,3,73,3.6,Rs.
405,2500075,0,0,0,0,4,500,2,47,3.3,Rs.
406,2500256,0,0,0,0,4,450,2,75,3.4,Rs.
407,2500390,0,0,0,0,3,400,2,8,3.2,Rs.
408,2500122,0,0,0,0,4,450,2,76,3.3,Rs.
409,2500024,0,0,0,0,5,1800,4,94,3.4,Rs.
410,2500123,0,0,0,0,2,600,2,74,3.3,Rs.
411,2500052,0,0,0,0,3,400,2,46,3.3,Rs.
412,2500134,0,0,0,0,1,700,2,19,3.1,Rs.
413,2500029,0,0,0,0,1,500,2,71,3.4,Rs.
414,2500062,0,0,0,0,2,700,2,45,3.3,Rs.
415,2500054,0,0,0,0,2,600,2,63,3.3,Rs.
416,2500069,0,0,0,0,2,350,2,46,3.4,Rs.
417,2500076,0,0,0,0,4,850,3,65,3.3,Rs.
418,2500007,0,0,0,0,1,650,2,39,3.4,Rs.
419,2500056,0,0,0,0,1,450,2,34,3.4,Rs.
420,2600031,0,0,0,0,2,1000,3,257,4.0,Rs.
421,2600010,0,0,0,0,1,500,2,103,4.1,Rs.
422,18461339,0,0,0,0,3,350,2,20,3.6,Rs.
423,2600340,0,0,0,0,3,500,2,111,3.6,Rs.
424,2600079,0,0,0,0,4,550,2,175,3.5,Rs.
425,2600303,0,0,0,0,1,1800,4,128,4.3,Rs.
426,2600230,0,0,0,0,4,400,2,243,4.4,Rs.
427,2600109,0,0,0,0,1,250,1,427,4.9,Rs.
428,2600250,0,0,0,0,1,1000,3,103,4.0,Rs.
429,2600514,0,0,0,0,1,600,2,63,3.4,Rs.
430,2600494,0,0,0,0,2,600,2,98,3.8,Rs.
431,18108352,0,0,0,0,1,500,2,33,3.8,Rs.
432,2600311,0,0,0,0,2,700,2,126,3.9,Rs.
433,2600472,0,0,0,0,3,200,1,51,3.3,Rs.
434,2600003,0,0,0,0,4,400,2,238,4.1,Rs.
435,2600025,0,0,0,0,1,650,2,118,4.1,Rs.
436,2600008,0,0,0,0,1,500,2,223,4.2,Rs.
437,2600007,0,0,0,0,1,500,2,120,4.3,Rs.
438,2600393,0,0,0,0,3,900,3,79,3.8,Rs.
439,2600180,0,0,0,0,1,500,2,161,3.9,Rs.
440,2700263,0,0,0,0,4,1000,3,81,3.7,Rs.
441,2700002,0,0,0,0,2,1000,3,119,3.6,Rs.
